Agency & Subagency Name,Sorting Code,Reporting Level_2015,Response Count_2015,Employee Engagement: Overall_2015,Employee Engagement: Leaders Lead_2015,Employee Engagement: Supervisors_2015,Employee Engagement: Intrinsic Work Experience_2015,HCAAF: Leadership and Knowledge Management_2015,HCAAF: Results-Oriented Performance Culture_2015,HCAAF: Talent Management_2015,HCAAF: Job Satisfaction_2015,New IQ: Overall_2015,New IQ: Fair_2015,New IQ: Open_2015,New IQ: Cooperative_2015,New IQ: Supportive_2015,New IQ: Empowered_2015,Global Satisfaction_2015,Reporting Level_2016,Response Count_2016,Employee Engagement: Overall_2016,Employee Engagement: Leaders Lead_2016,Employee Engagement: Supervisors_2016,Employee Engagement: Intrinsic Work Experience_2016,HCAAF: Leadership and Knowledge Management_2016,HCAAF: Results-Oriented Performance Culture_2016,HCAAF: Talent Management_2016,HCAAF: Job Satisfaction_2016,New IQ: Overall_2016,New IQ: Fair_2016,New IQ: Open_2016,New IQ: Cooperative_2016,New IQ: Supportive_2016,New IQ: Empowered_2016,Global Satisfaction_2016,Reporting Level_2017,Response Count_2017,Employee Engagement: Overall_2017,Employee Engagement: Leaders Lead_2017,Employee Engagement: Supervisors_2017,Employee Engagement: Intrinsic Work Experience_2017,Global Satisfaction_2017,New IQ: Overall_2017,New IQ: Fair_2017,New IQ: Open_2017,New IQ: Cooperative_2017,New IQ: Supportive_2017,New IQ: Empowered_2017,HCAAF: Leadership and Knowledge Management_2017,HCAAF: Results-Oriented Performance Culture_2017,HCAAF: Talent Management_2017,HCAAF: Job Satisfaction_2017,Reporting Level_2018,Response Count_2018,Employee Engagement: Overall_2018,Employee Engagement: Leaders Lead_2018,Employee Engagement: Supervisors_2018,Employee Engagement: Intrinsic Work Experience_2018,Global Satisfaction_2018,New IQ: Overall_2018,New IQ: Fair_2018,New IQ: Open_2018,New IQ: Cooperative_2018,New IQ: Supportive_2018,New IQ: Empowering_2018,Reporting Level_2019,Response Count_2019,Employee Engagement: Overall_2019,Employee Engagement: Leaders Lead_2019,Employee Engagement: Supervisors_2019,Employee Engagement: Intrinsic Work Experience_2019,Global Satisfaction_2019,New IQ: Overall_2019,New IQ: Fair_2019,New IQ: Open_2019,New IQ: Cooperative_2019,New IQ: Supportive_2019,New IQ: Empowering_2019,Reporting Level_2020,Response Count_2020,Employee Engagement: Overall_2020,Employee Engagement: Leaders Lead_2020,Employee Engagement: Supervisors_2020,Employee Engagement: Intrinsic Work Experience_2020,Global Satisfaction_2020,Subsetting Code_2022,Reporting Level_2022,Response Count_2022,Employee Engagement: Overall_2022,Employee Engagement: Leaders Lead_2022,Employee Engagement: Supervisors_2022,Employee Engagement: Intrinsic Work Experience_2022,Global Satisfaction_2022
Office of Planning and Programming for Service Delivery,CM090402,Level 3,128,0.66,0.51,0.75,0.73,0.58,0.57,0.65,0.74,0.63,0.54,0.6,0.53,0.8,0.66,0.76,Level 3,88,0.63,0.51,0.68,0.7,0.55,0.51,0.51,0.62,0.53,0.43,0.5,0.49,0.71,0.54,0.61,Level 3,91,0.7,0.63,0.79,0.68,0.64,0.62,0.45,0.6,0.62,0.82,0.6,0.66,0.53,0.51,0.65,Level 3,150,0.70733814,0.59793734,0.78719757,0.73687951,0.67617655,0.63753938,0.50506937,0.61536191,0.60492384,0.82287975,0.63946206,Level 3,149,0.72052341,0.61252448,0.79058863,0.75845714,0.70013222,0.65995903,0.5040317,0.65447409,0.64027845,0.8344061,0.66660482,Level 3,138,0.73412331,0.6520425,0.77836249,0.77196495,0.71321739,CM0904,Level 3,143.0,0.73105248,0.62012882,0.81861671,0.75441191,0.69718578
Office of the Chief Operating Officer,CM090403,Level 3,70,0.66,0.41,0.79,0.77,0.54,0.54,0.6,0.73,0.62,0.47,0.6,0.57,0.84,0.65,0.72,Level 3,463,0.63,0.45,0.73,0.72,0.56,0.55,0.58,0.7,0.59,0.52,0.57,0.48,0.78,0.6,0.68,Level 3,424,0.63,0.42,0.75,0.71,0.7,0.6,0.52,0.59,0.5,0.79,0.6,0.55,0.55,0.58,0.71,Level 3,1396,0.65423073,0.49003135,0.72697174,0.74568912,0.70778861,0.62130957,0.5397410499999999,0.61609056,0.54846999,0.76643016,0.63581611,Level 3,1508,0.69245993,0.54082172,0.77284067,0.7637174,0.73682228,0.657552,0.56547638,0.65209012,0.60014828,0.80855082,0.66149438,Level 3,1216,0.74024186,0.61796363,0.79065826,0.81210369,0.7789477,CM0904,Level 3,1168.0,0.71585081,0.589921,0.78785195,0.76977948,0.70270127
Office of Oceanic and Atmospheric Research,CM0905,Level 2,90,0.73,0.64,0.75,0.81,0.66,0.62,0.6,0.73,0.66,0.54,0.62,0.59,0.83,0.7,0.7,Level 2,82,0.75,0.65,0.79,0.83,0.68,0.64,0.64,0.77,0.68,0.57,0.7,0.61,0.82,0.69,0.75,Level 2,65,0.67,0.54,0.74,0.74,0.66,0.65,0.52,0.65,0.62,0.81,0.64,0.64,0.6,0.6,0.7,Level 2,261,0.70975557,0.58171917,0.7627009,0.78484665,0.6857332,0.64371664,0.54620876,0.64168552,0.56131511,0.79219295,0.67718086,Level 2,305,0.71707733,0.61102602,0.74946644,0.79073953,0.7239728,0.66273005,0.54043904,0.66376875,0.63443745,0.79026458,0.68474041,Level 2,320,0.7997684,0.72170553,0.83144327,0.84615641,0.8050515,CM0905,Level 2,339.0,0.79110381,0.67159975,0.86185145,0.83986023,0.73917283
UNSEC,CM0906,Level 2,14,0.62,0.58,0.66,0.6,0.64,0.58,0.48,0.42,0.64,0.49,0.65,0.81,0.77,0.48,0.49,Level 2,89,0.7,0.54,0.79,0.79,0.62,0.61,0.61,0.75,0.63,0.46,0.61,0.59,0.84,0.67,0.78,Level 2,98,0.79,0.7,0.88,0.8,0.84,0.72,0.57,0.69,0.72,0.89,0.73,0.75,0.68,0.67,0.78,Level 2,124,0.79659849,0.72537358,0.8309954,0.8334265,0.7990429,0.72948513,0.60600206,0.69068103,0.73704852,0.85014711,0.76354693,Level 2,109,0.80759271,0.68831208,0.87602816,0.85843789,0.85277912,0.75143019,0.60185683,0.73586138,0.75308923,0.88544672,0.78089681,Level 2,120,0.84866425,0.70956386,0.91661635,0.91981255,0.87199744,CM0906,Level 2,111.0,0.81461794,0.71404229,0.89297983,0.8368317,0.75943338
Office of Marine and Aviation Operations,CM0907,Level 2,105,0.72,0.57,0.83,0.76,0.63,0.58,0.61,0.7,0.62,0.5,0.55,0.56,0.86,0.63,0.73,Level 2,83,0.59,0.45,0.65,0.69,0.48,0.45,0.48,0.62,0.49,0.36,0.46,0.4,0.69,0.53,0.56,Level 2,66,0.58,0.41,0.69,0.65,0.5,0.53,0.4,0.52,0.47,0.7,0.55,0.5,0.48,0.49,0.63,Level 2,144,0.63368344,0.49500659,0.70706543,0.69897831,0.56504974,0.5461676,0.42932812,0.53500598,0.47645475,0.71590871,0.57414043,Level 2,135,0.63968032,0.50936841,0.69447206,0.71520048,0.6267986,0.55545069,0.46067828,0.54075937,0.49338769,0.69086685,0.59156125,Level 2,151,0.70946188,0.58847757,0.78935988,0.75054819,0.68052556,CM0907,Level 2,115.0,0.66691222,0.55210033,0.71761675,0.73101959,0.577852
Aviation Operations Center,CM090703,Level 3,36,0.74,0.54,0.89,0.78,0.64,0.62,0.66,0.73,0.64,0.54,0.56,0.56,0.92,0.64,0.77,Level 3,22,0.53,0.44,0.51,0.65,0.48,0.39,0.45,0.58,0.43,0.35,0.41,0.25,0.58,0.55,0.58,Level 3,15,0.6,0.45,0.65,0.7,0.52,0.52,0.46,0.52,0.32,0.72,0.59,0.5,0.46,0.57,0.64,Level 3,22,0.68493566,0.54541705,0.75931507,0.75007485,0.63824419,0.59058534,0.44222052,0.55438445,0.5043467,0.79315186,0.65882319,Level 3,19,0.73098499,0.65931381,0.74469261,0.78894856,0.68351353,0.65765947,0.50370713,0.63695082,0.61251232,0.8407965,0.69433058,Level 3,26,0.66343589,0.51338191,0.74056008,0.73636569,0.53936069,CM0907,Level 3,11.0,0.79938232,0.70385004,0.83772095,0.85657596,0.58150168
All other OMAO,CM090704,Level 3,30,0.71,0.61,0.8,0.72,0.63,0.52,0.56,0.63,0.62,0.49,0.51,0.62,0.82,0.64,0.59,Level 3,42,0.64,0.49,0.72,0.7,0.49,0.49,0.5,0.64,0.55,0.41,0.52,0.49,0.76,0.57,0.58,Level 3,26,0.58,0.42,0.68,0.63,0.49,0.52,0.37,0.5,0.49,0.7,0.54,0.49,0.47,0.48,0.62,Level 3,90,0.61713259,0.4941571,0.68260696,0.67463371,0.56696283,0.53536218,0.43708403,0.51670235,0.49485261,0.6878576,0.54031432,Level 3,71,0.65910583,0.52843418,0.71727447,0.73160885,0.69767894,0.56520216,0.49154241,0.57721417,0.45056756,0.70794028,0.59874639,Level 3,78,0.75203552,0.5981921,0.8569954,0.80091906,0.74955011,CM0907,Level 3,61.0,0.66028364,0.56136105,0.74299522,0.67649464,0.66986579
Staff Offices of the Office of the Under Secretary,CM0908,Level 2,65,0.56,0.34,0.72,0.63,0.47,0.47,0.47,0.58,0.48,0.35,0.51,0.32,0.76,0.46,0.48,Level 2,176,0.64,0.5,0.7,0.73,0.57,0.53,0.57,0.65,0.57,0.45,0.53,0.52,0.75,0.57,0.6,Level 2,189,0.68,0.56,0.77,0.7,0.62,0.64,0.52,0.61,0.65,0.82,0.59,0.63,0.59,0.62,0.66,Level 2,417,0.69398292,0.59061861,0.76489539,0.72643475,0.66505281,0.62958686,0.51309171,0.60534145,0.58603129,0.81889204,0.62457778,Level 2,417,0.70361044,0.5836444,0.78127611,0.74591081,0.67398529,0.63821725,0.51210975,0.62418923,0.58979656,0.82151751,0.6434732,Level 2,399,0.76458657,0.6729525,0.82834572,0.79246149,0.74481898,CM0908,Level 2,345.0,0.71522044,0.58184836,0.81423195,0.74958101,0.61592423
Office of the Chief Financial Officer,CM090803,Level 3,20,0.55,0.43,0.57,0.66,0.53,0.46,0.53,0.63,0.49,0.43,0.5,0.35,0.64,0.56,0.63,Level 3,30,0.59,0.47,0.55,0.76,0.52,0.43,0.53,0.58,0.51,0.3,0.45,0.63,0.63,0.57,0.52,Level 3,38,0.62,0.48,0.7,0.69,0.53,0.6,0.49,0.6,0.59,0.75,0.57,0.57,0.56,0.59,0.59,Level 3,97,0.67973161,0.53821742,0.77145772,0.72951969,0.59020738,0.61677899,0.46808274,0.59461026,0.5707769,0.8219637,0.62846138,Level 3,103,0.64277754,0.45300422,0.75466678,0.72066161,0.57714608,0.60532189,0.45637646,0.578063,0.57615561,0.80170734,0.61430706,Level 3,96,0.75768922,0.60374799,0.83595229,0.83336738,0.76076268,CM0908,Level 3,75.0,0.69683766,0.53094908,0.82287617,0.73668774,0.58335619
Office of the Chief Information Officer,CM090804,Level 3,29,0.59,0.33,0.77,0.67,0.47,0.49,0.47,0.56,0.5,0.35,0.57,0.26,0.83,0.48,0.48,Level 3,26,0.65,0.49,0.8,0.66,0.58,0.53,0.49,0.58,0.54,0.46,0.46,0.46,0.82,0.48,0.64,Level 3,24,0.76,0.69,0.85,0.73,0.74,0.72,0.58,0.73,0.75,0.92,0.61,0.71,0.65,0.66,0.7,Level 3,45,0.72650567,0.6322358,0.77592059,0.77136062,0.71328277,0.6259046,0.45120544,0.63410881,0.54377664,0.83068868,0.66974342,Level 3,47,0.76511533,0.64582938,0.83479776,0.81471885,0.79055868,0.66311947,0.50932975,0.63070654,0.61605863,0.86761597,0.69188643,Level 3,42,0.77639107,0.75283982,0.80061123,0.77572215,0.80244044,CM0908,Level 3,45.0,0.77081991,0.65224016,0.85794632,0.80227325,0.66921702
